秀洲环保,@嘉兴环境保护 网民反映22日凌晨4点嘉兴市联欣水汽供应有限公司和嘉兴新嘉爱斯热电有限公司烟尘超标排放，经我局执法人员核实，嘉兴市联欣水汽供应有限公司晚上不生产，企业会停炉压火，空气会倒灌进烟囱， 详见长微博： http://t.cn/R7XkSpy  ​,0,2,2,2014-10-27 14:23:43,https://weibo.cn/comment/BtuBvt0uq?uid=2035917540&rl=1#cmtfrm,嘉兴新嘉爱斯热电,,,,@嘉兴环境保护
宁波发布,【4甬企入围中国外贸200强】#宁波新闻#海关总署最近公布了2013年中国外贸200强企业名单，我市有四家企业上榜。其中，宁波申洲针织有限公司和宁波奇美电子有限公司入围出口200强，宁波奇美电子有限公司、中基宁波集团股份有限公司和浙江逸盛石化有限公司进入进口200强。 ​,3,2,15,2014-04-17 14:05:45,https://weibo.cn/comment/B090nsiVh?uid=2568435544&rl=1#cmtfrm,浙江逸盛石化,,,
亳州发布,#微播亳州#【亳州市两企业标准化跻身全省前列[鼓掌]】日前，省经信委公布了安徽省工业和信息化领域标准化示范企业（第一批）名单，我市安徽古井贡酒股份有限公司、安徽三星化工有限公司榜上有名，这标志着上述两家企业的标准化工作跻身全省工业企业前列。[威武][威武][给力] ​,4,6,2,2014-01-08 11:53:52,https://weibo.cn/comment/Ar2i0zUfz?uid=3442980450&rl=1#cmtfrm,安徽古井贡酒股份,,,
金山传播,【包车送员工返乡 金山企业为员工过年提供全方位服务】#金山新闻#1月25日，在上海嘉乐股份有限公司，百余名员工高兴地坐上大巴，开往河南永城、夏邑县城，这是嘉乐公司今年第三批包车送员工回家过年。最早的一批1月23日就已启程，180名员工由包车送到山东汶上县，员工们抱着大包小包上车，别提有多高兴 ​,1,1,3,2014-01-30 08:28:22,https://weibo.cn/comment/AumlwovRw?uid=1924853635&rl=1#cmtfrm,上海嘉乐股份,,,
微博德阳,[围观]【“德阳造”全国首套百万千瓦级“三同时”超低排放机组正式投入运行】由东方电气集团东方汽轮机有限公司制造的浙江浙能中煤舟山煤电有限公司六横二号机组于28日正式投产，成为全国首套百万千瓦级同时设计、同时建设、同时投产“三同时”超低排放新建机组。[鼓掌] ​,2,1,4,2014-10-30 09:48:09,https://weibo.cn/comment/BtV595zSt?uid=2811257732&rl=1#cmtfrm,浙江浙能中煤舟山煤电,,,
镇海环保,【印染行业整治提升通过市级验收】@宁波市环境保护局 近日对我区印染行业整治提升工作进行验收。验收组现场核查了宁波海富纺织品有限公司和宁波海德针织漂染有限公司并听取了情况汇报。验收组认为，镇海区印染行业整治提升领导重视、工作扎实、台账齐全、成效明显，已基本完成任务，同意通过核查验收。 ​,0,0,0,2014-12-17 16:27:23,https://weibo.cn/comment/BBgd1DprH?uid=2763420934&rl=1#cmtfrm,宁波海德针织漂染,,,,@宁波市环境保护局
镇海环保,【市生态办检查镇海重污染行业整治提升】7月16日，宁波市生态办对我区印染、造纸行业整治提升工作进行检查。检查组来到华美线业有限公司、宁波海德针织漂染有限公司、宁波康赛妮毛绒制品有限公司检查污染治理情况，核查宁波经纬带业有限公司、宁波通宝纸业有限公司停产关闭情况。http://t.cn/RPZ25VB ​,1,0,1,2014-07-17 16:31:36,https://weibo.cn/comment/BdZQLsiCA?uid=2763420934&rl=1#cmtfrm,宁波海德针织漂染,,,
宁夏消防,#消防工作动态#为快速提升企业防御火灾的能力，进一步推动社会单位公益消防安全培训，确保社会面消防安全，5月14日，宁夏银川市开发区消防大队监督人员来到宁夏电投西夏热电有限公司，组织百名员工进行消防安全知识培训。 ​,0,0,0,2014-05-15 11:25:16,https://weibo.cn/comment/B4nV90MUL?uid=3328824184&rl=1#cmtfrm,宁夏电投银川热电,,,
环保东营,我发表了文章  关于群众反映的东营华泰化工，金茂铝业，西水集团，华泰热力等4家企业超标排污而未做公开说明的问题的回复 关于群众反映的东营华泰化工，金茂铝业，西水集团，华泰热力等4家企业超标排污而未做公开说明的问题的回复 ​,0,1,4,2014-10-22 16:37:04,https://weibo.cn/comment/BsKl9nrki?uid=1602726821&rl=1#cmtfrm,东营华泰化工集团,,,
指挥长在线,#安防365#近期，多位市民报警称：接到“自来水公司”的来电，称用户的身份被冒用，在上海开通自来水业务后欠费不交，现将对用户进行强制停水，并要求用户根据语音提示操作。警方会同 @太仓市水处理公司 提醒市民：此类电话系电信诈骗，切勿轻信！市民可拨打400-8877-212进行核实确认，或拨打110报警。 ​,0,2,12,2014-10-28 14:49:20,https://weibo.cn/comment/BtEcp32VE?uid=2001070163&rl=1#cmtfrm,太仓市水处理,,,,@太仓市水处理公司
指挥长在线,#警情通报#近期，有推销人员冒充水处理公司工作人员上门推销净水器之类产品，给市民带来一定困扰。市水处理公司郑重提醒：该公司从未指派或授权任何人员向用户推销涉水产品，若遇到上门推销产品的自称该公司工作人员，可拨打供水服务热线400-8877-212咨询。如有可疑请打110报警！via@太仓市水处理公司 ​,2,5,11,2014-10-01 17:15:33,https://weibo.cn/comment/BpyClltLb?uid=2001070163&rl=1#cmtfrm,太仓市水处理,,,,@太仓市水处理公司
指挥长在线,#安防365#近期，有推销人员冒充水处理公司工作人员上门推销净水器之类产品，给市民带来一定困扰。市水处理公司郑重提醒：该公司从未指派或授权任何人员向用户推销涉水产品，若遇到上门推销产品的自称该公司工作人员，可拨打供水服务热线400-8877-212咨询。如有可疑，请打110报警！via@太仓市水处理公司 ​,0,1,6,2014-09-21 10:16:11,https://weibo.cn/comment/BnZB9DbXq?uid=2001070163&rl=1#cmtfrm,太仓市水处理,,,,@太仓市水处理公司
指挥长在线,#便民信息#【停水通知】因338省道荡茜河大桥北堍供水管道抢修，9月15日（星期一）晚9:30至次日晨5:00，璜泾、鹿河、王秀将停水，雨天顺延，请广大用户谅解并相互转告，供水服务热线400-8877-212。 via@太仓市水处理公司 ​,0,1,4,2014-09-15 13:48:19,https://weibo.cn/comment/Bn6qhvLlK?uid=2001070163&rl=1#cmtfrm,太仓市水处理,,,,@太仓市水处理公司
镇海环保,【大地环保改造设备减少二次污染】宁波大地化工环保有限公司为杜绝二次污染，通过设备更新改造提升危险废物焚烧处置水平，减少废气无组织排放。http://t.cn/8sgjQ6b ​,0,0,0,2014-05-08 09:33:42,https://weibo.cn/comment/B3jcnzgbv?uid=2763420934&rl=1#cmtfrm,宁波大地化工环保,,,
镇海环保,【大地环保改造设备减少二次污染】宁波大地化工环保有限公司为杜绝二次污染，通过设备更新改造提升危险废物焚烧处置水平，减少废气无组织排放。http://t.cn/8sgjQ6b ​,0,0,0,2014-05-08 09:33:42,https://weibo.cn/comment/B3jcnzgbv?uid=2763420934&rl=1#cmtfrm,宁波大地化工环保,,,
